day,blocks,p50,p80,p90,p99
2024-06-15 00:00:00.000 UTC,7133,0.03149586557824273,0.03149586557824273,0.09516323497241108,0.36687163915032384
2024-06-16 00:00:00.000 UTC,7158,0.033974227039707525,0.033974227039707525,0.09848767966365221,0.4207666294428736
2024-06-17 00:00:00.000 UTC,7147,0.04344058735962574,0.04344058735962574,0.13362989030480574,0.5354520245302196
2024-06-18 00:00:00.000 UTC,7133,0.0448547173633238,0.0448547173633238,0.14111587450467822,0.5900550318212958
2024-06-19 00:00:00.000 UTC,7144,0.040014683830508026,0.040014683830508026,0.12104713987453451,0.40624904276711243
2024-06-20 00:00:00.000 UTC,7139,0.0460156540135847,0.0460156540135847,0.13228776425066485,0.4194482031688741
2024-06-21 00:00:00.000 UTC,7155,0.03742486173349429,0.03742486173349429,0.10829903041521359,0.4034589221419249
2024-06-22 00:00:00.000 UTC,7144,0.026046310224184882,0.026046310224184882,0.06950032538932445,0.2329894209464383
2024-06-23 00:00:00.000 UTC,7146,0.030782542100374514,0.030782542100374514,0.08235102085750311,0.272888521643258
2024-06-24 00:00:00.000 UTC,7143,0.04019304563768159,0.04019304563768159,0.13284768981153489,0.6606505190364084
2024-06-25 00:00:00.000 UTC,7158,0.040529632976714594,0.040529632976714594,0.1101031461093765,0.41774127174015796
2024-06-26 00:00:00.000 UTC,7155,0.03379337505725342,0.03379337505725342,0.10132468786329839,0.4212690020767826
2024-06-27 00:00:00.000 UTC,7161,0.0388403663747012,0.0388403663747012,0.1177701353639741,0.5086912993575536
2024-06-28 00:00:00.000 UTC,7156,0.033415431926807654,0.033415431926807654,0.0972737303157008,0.3829176343418588
2024-06-29 00:00:00.000 UTC,7153,0.023259072345694177,0.023259072345694177,0.06131536162864798,0.22831998725986435
2024-06-30 00:00:00.000 UTC,7165,0.02940801994979242,0.02940801994979242,0.08091938003847193,0.29458097373939807
2024-07-01 00:00:00.000 UTC,7161,0.03999692999240306,0.03999692999240306,0.10529685344823143,0.46125013046729246
2024-07-02 00:00:00.000 UTC,7146,0.038217404276584405,0.038217404276584405,0.11149276027045102,0.3664779637839044
2024-07-03 00:00:00.000 UTC,7159,0.04350470748700238,0.04350470748700238,0.116763306072082,0.5756389099458199
2024-07-04 00:00:00.000 UTC,7152,0.039162128318720034,0.039162128318720034,0.1215251203018802,0.593649506573765
2024-07-05 00:00:00.000 UTC,7158,0.03923045952476831,0.03923045952476831,0.14539865486105466,1.489453740187359
2024-07-06 00:00:00.000 UTC,7162,0.025276545428357913,0.025276545428357913,0.0735834102590629,0.2625459301753799
2024-07-07 00:00:00.000 UTC,7152,0.0236812896851221,0.0236812896851221,0.06840229844686091,0.25623323418290506
2024-07-08 00:00:00.000 UTC,7142,0.03518287920753564,0.03518287920753564,0.11025027101052848,0.511740737689837
2024-07-09 00:00:00.000 UTC,7154,0.03748298581354886,0.03748298581354886,0.10544160668056289,0.39145361272146184
2024-07-10 00:00:00.000 UTC,7161,0.04712737155462793,0.04712737155462793,0.12016503617832597,0.43209160615536135
2024-07-11 00:00:00.000 UTC,7162,0.03567203745170151,0.03567203745170151,0.10413576291162892,0.4657139422936312
2024-07-12 00:00:00.000 UTC,7156,0.032109168284166024,0.032109168284166024,0.09453474403885351,0.470484539891472
2024-07-13 00:00:00.000 UTC,7149,0.024925876948993547,0.024925876948993547,0.08154681262793564,0.30776924005348566
2024-07-14 00:00:00.000 UTC,7160,0.03699766124429575,0.03699766124429575,0.0987327527876987,0.33776217920880947
2024-07-15 00:00:00.000 UTC,7155,0.04335062699943411,0.04335062699943411,0.13147188262924386,0.5876407174602379
2024-07-16 00:00:00.000 UTC,7167,0.05210269001032602,0.05210269001032602,0.14871078398827686,0.5882224630142868
2024-07-17 00:00:00.000 UTC,7161,0.05663111355507819,0.05663111355507819,0.14376139882676892,0.477940389294795
2024-07-18 00:00:00.000 UTC,7159,0.056074646555022374,0.056074646555022374,0.17464432457756765,1.1059375938097906
2024-07-19 00:00:00.000 UTC,7168,0.04547025866320627,0.04547025866320627,0.12525301258828433,0.5095538058589125
2024-07-20 00:00:00.000 UTC,7161,0.03063822200496163,0.03063822200496163,0.08821099201543754,0.3353099267073421
2024-07-21 00:00:00.000 UTC,7161,0.02849438237840573,0.02849438237840573,0.1267824917161965,0.5009425547692042
2024-07-22 00:00:00.000 UTC,7154,0.04816401612328917,0.04816401612328917,0.13576114807834538,0.5099511774363334
2024-07-23 00:00:00.000 UTC,7159,0.041217273558944764,0.041217273558944764,0.12310192602569846,0.5265390156760538
2024-07-24 00:00:00.000 UTC,7160,0.03617844768987556,0.03617844768987556,0.09466244194078315,0.3369476668013556
2024-07-25 00:00:00.000 UTC,7158,0.03873753367683049,0.03873753367683049,0.12113126707367057,0.5753912011960196
2024-07-26 00:00:00.000 UTC,7150,0.029064976879884262,0.029064976879884262,0.07672933157855764,0.24683945383275743
2024-07-27 00:00:00.000 UTC,7159,0.032778061737200985,0.032778061737200985,0.13308313175740416,0.6019173989840308
2024-07-28 00:00:00.000 UTC,7173,0.028956614399106847,0.028956614399106847,0.07618821285127408,0.24877728979476332
2024-07-29 00:00:00.000 UTC,7164,0.0327209410096622,0.0327209410096622,0.08923622974336641,0.34226191191704086
2024-07-30 00:00:00.000 UTC,7139,0.040265057851627234,0.040265057851627234,0.11362862407928266,0.45096913078817225
2024-07-31 00:00:00.000 UTC,7159,0.043499929001992996,0.043499929001992996,0.11868773910311664,0.39655223804073697
2024-08-01 00:00:00.000 UTC,7161,0.05024350163343768,0.05024350163343768,0.1357071163804955,0.5412402995389572
2024-08-02 00:00:00.000 UTC,7153,0.03733947107427235,0.03733947107427235,0.10881814119777432,0.5046049968500776
2024-08-03 00:00:00.000 UTC,7164,0.025753555847861563,0.025753555847861563,0.08717802901421316,0.5159684879179709
2024-08-04 00:00:00.000 UTC,7172,0.02740676580474799,0.02740676580474799,0.10385134146760641,0.8385340098863228
2024-08-05 00:00:00.000 UTC,7161,0.0933349503084409,0.0933349503084409,0.7934227175542101,14.905374749360766
2024-08-06 00:00:00.000 UTC,7160,0.03928463185204951,0.03928463185204951,0.12126703247332364,0.5855249345284754
2024-08-07 00:00:00.000 UTC,7167,0.04261140098455202,0.04261140098455202,0.13900570093798884,0.5615569205821727
2024-08-08 00:00:00.000 UTC,7169,0.045697084571601515,0.045697084571601515,0.14425797797997303,0.539429231691908
2024-08-09 00:00:00.000 UTC,7162,0.04401758645135677,0.04401758645135677,0.12279947478651762,0.40669115727244204
2024-08-10 00:00:00.000 UTC,7162,0.0257209238737473,0.0257209238737473,0.06656677365096225,0.22772328275455472
2024-08-11 00:00:00.000 UTC,7151,0.02778595109025023,0.02778595109025023,0.08766500995477781,0.32748984096751815
2024-08-12 00:00:00.000 UTC,7161,0.044367152785605816,0.044367152785605816,0.1304010449059519,0.583258688828662
2024-08-13 00:00:00.000 UTC,7165,0.035112298909213635,0.035112298909213635,0.09944623113938814,0.4822811999940019
2024-08-14 00:00:00.000 UTC,7159,0.038076239987993796,0.038076239987993796,0.1065316714598428,0.4615525202356637
2024-08-15 00:00:00.000 UTC,7149,0.0417461094116771,0.0417461094116771,0.12664220790644753,0.521849698873492
2024-08-16 00:00:00.000 UTC,7159,0.024206842743701575,0.024206842743701575,0.06597900214844957,0.27341147797330134
2024-08-17 00:00:00.000 UTC,7145,0.020876416496131374,0.020876416496131374,0.05986222959847054,0.20951716046074892
2024-08-18 00:00:00.000 UTC,7171,0.023514229314713902,0.023514229314713902,0.06154365963181092,0.22113176911354707
2024-08-19 00:00:00.000 UTC,7154,0.027574930334287213,0.027574930334287213,0.07312943147537833,0.3158221061922506
2024-08-20 00:00:00.000 UTC,7150,0.026790452842884248,0.026790452842884248,0.08778972141281188,0.39878191545779085
2024-08-21 00:00:00.000 UTC,7151,0.0232438534336191,0.0232438534336191,0.1046343453079365,0.5292117723478855
2024-08-22 00:00:00.000 UTC,7151,0.022230899153282847,0.022230899153282847,0.06234334804757095,0.27117585342965805
2024-08-23 00:00:00.000 UTC,7145,0.023271773310056285,0.023271773310056285,0.0766925915380609,0.44414159364204536
2024-08-24 00:00:00.000 UTC,7145,0.01966126993821608,0.01966126993821608,0.05715907874678258,0.2472623421290784
